product,total_qty,revenue
Canon imageCLASS 2200 Advanced Copier,20,61599.824
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,31,27453.384
Cisco TelePresence System EX90 Videoconferencing Unit,6,22638.48
HON 5400 Series Task Chairs for Big and Tall,39,21870.576
GBC DocuBind TL300 Electric Binding System,37,19823.479000000003
GBC Ibimaster 500 Manual ProClick Binding System,48,19024.5
Hewlett Packard LaserJet 3310 Copier,38,18839.686
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",12,18374.895
GBC DocuBind P400 Electric Binding System,27,17965.068
High Speed Automatic Electric Letter Opener,11,17030.311999999998
Lexmark MX611dhe Monochrome Laser Printer,18,16829.900999999998
Martin Yale Chadless Opener Electric Letter Opener,22,16656.199999999997
Ibico EPK-21 Electric Binding System,13,15875.916000000001
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",24,15610.9656
"3D Systems Cube Printer, 2nd Generation, Magenta",11,14299.89
Samsung Galaxy Mega 6.3,39,13943.668000000001
Apple iPhone 5,24,12996.600000000002
Bretford Rectangular Conference Table Tops,46,12995.291500000001
Global Troy Executive Leather Low-Back Tilter,32,12975.382
Canon PC1060 Personal Laser Copier,19,11619.834
SAFCO Arco Folding Chair,53,11572.78
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,40,11304.439999999999
Cubify CubeX 3D Printer Double Head Print,9,11099.963
DMI Eclipse Executive Suite Bookcases,27,11046.609
Tennsco 6- and 18-Compartment Lockers,43,10925.004000000003
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,35,10822.359999999999
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",51,10637.527999999998
Logitech P710e Mobile Speakerphone,41,10196.604000000003
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,27,9917.64
Tennsco Double-Tier Lockers,47,9630.856
Bush Advantage Collection Racetrack Conference Table,33,9544.724999999999
Plantronics Savi W720 Multi-Device Wireless Headset System,24,9367.289999999999
Bady BDG101FRU Card Printer,14,9279.884
Tennsco Single-Tier Lockers,28,9158.296
GuestStacker Chair with Chrome Finish Legs,31,9070.944000000001
Canon Imageclass D680 Copier / Fax,16,8959.872000000001
Hewlett Packard 610 Color Digital Copier / Printer,21,8899.822
Wilson Electronics DB Pro Signal Booster,32,8878.4
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,28,8774.500000000002
Global Deluxe High-Back Manager's Chair,35,8665.194
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,34,8430.997000000001
Chromcraft Round Conference Tables,61,8209.059
"Hot File 7-Pocket, Floor Stand",49,8138.232
Fellowes PB300 Plastic Comb Binding Machine,27,8070.192000000001
Cubify CubeX 3D Printer Triple Head Print,4,7999.98
Ibico Ibimaster 300 Manual Binding System,28,7985.383
Global Commerce Series High-Back Swivel/Tilt Chairs,33,7979.4400000000005
Okidata MB760 Printer,7,7834.400000000001
Adjustable Depth Letter/Legal Cart,45,7730.196
Ativa V4110MDD Micro-Cut Shredder,11,7699.89
Mitel MiVoice 5330e IP Phone,34,7699.72
Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,24,7582.374000000002
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",35,7539.712200000001
Tennsco 16-Compartment Lockers with Coat Rack,13,7515.523999999999
Hon 94000 Series Round Tables,30,7404.5
Logitech diNovo Edge Keyboard,31,7399.704
Bretford CR4500 Series Slim Rectangular Table,29,7242.767999999999
Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),28,7139.796
Zebra ZM400 Thermal Label Printer,6,6965.700000000001
"Bevis Oval Conference Table, Walnut",36,6942.068
Hon GuestStacker Chair,34,6936.102
Hoover Upright Vacuum With Dirt Cup,31,6832.907999999999
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",25,6819.312000000001
GBC DocuBind 300 Electric Binding Machine,23,6785.142000000002
Bretford CR8500 Series Meeting Room Furniture,21,6776.562000000001
Cisco Unified IP Phone 7945G VoIP phone,26,6751.602000000001
Hon Every-Day Series Multi-Task Chairs,43,6748.482
